#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-25T16:10:03 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5888cd262130 
#INFO -out.max=unlimited 
#INFO queryParameters=8 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/A+A/555/A78&tab:{J/A+A/555/A78/table1}&key:source=J/A+A/555/A78/table1&HTTPPRM:&
#-source=J/A+A/555/A78/table1
#-order=I
#-out=lam.1
#-out=lamb.2
#-out=Flux
#
#RESOURCE=yCat_35550078
#Name: J/A+A/555/A78
#Title: High-resolution IR airglow spectrum (Oliva+, 2013)
#Table J_A_A_555_A78_table1:
#Name: J/A+A/555/A78/table1
#Title: *OH airglow line wavelengths
#---Details of Columns:
#    lam.1 (0.1nm)  (F9.3)  [9722/22750] Vacuum wavelength of first line of the OH doublet ({AA}) [ucd=em.wl]
#    lamb.2 (0.1nm) (F9.3)  [9722/22750] Vacuum wavelength of second line of the OH doublet ({AA}) [ucd=em.wl]
#    Flux           (I4)    Relative line photon flux of the doublet [ucd=phot.flux;arith.ratio]
#--------- --------- ----
#lam.      lamb.         
#1 (0.1nm) 2 (0.1nm) Flux
#--------- --------- ----
 9722.546  9722.448   18
 9740.794  9740.726    9
 9851.125  9851.245   16
 9874.767  9874.921   38
 9897.437  9897.479   11
 9917.249  9917.533   41
 9948.022  9947.957   11
 9959.328  9959.286   21
 9964.447  9964.877   23
 9975.087  9975.079    6
10002.832 10002.642   10
10015.583 10015.527   44
10063.407 10063.538   14
10085.175 10085.288   38
10106.324 10106.425   14
10126.670 10126.898   51
10174.990 10174.806   19
10183.784 10183.868    9
10192.575 10192.425   31
10205.839 10205.849   12
10211.608 10211.545   12
10213.900 10213.802   41
10228.311 10228.862   12
10233.499 10233.428   12
10289.505 10289.409  110
10299.021 10298.670   37
10350.063 10350.193   23
10375.641 10375.799   86
10399.361 10399.413   32
10421.071 10421.366   92
10453.395 10453.335   21
10471.604 10472.056   57
10512.107 10511.916   11
10527.345 10527.969   29
10700.140 10699.948    7
10713.770 10713.589   22
10723.304 10723.396   10
10731.788 10731.640   45
10746.145 10746.159   16
10753.969 10753.871   56
10775.094 10775.024   12
10832.411 10832.103   15
10834.338 10834.241  161
10844.871 10844.514   56
10860.033 10859.222   15
10898.609 10898.751   31
10926.348 10926.511  115
10951.316 10951.381   39
10975.177 10975.484  120
11009.318 11009.269   26
11029.577 11030.053   72
11072.551 11072.363   12
11089.688 11090.349   33
11312.937 11312.764   26
11323.318 11323.415   14
11331.266 11331.121   42
11439.989 11439.891  124
11451.787 11451.422   39
11538.706 11538.876   93
11591.523 11591.847   91
11627.867 11627.826   32
11650.492 11651.000   61
11696.442 11696.254   18
11715.795 11716.506   36
11771.004 11770.650    6
11787.563 11788.495   14
11983.237 11983.411    5
11988.729 11988.565   26
12000.086 12000.197   14
12007.149 12007.008   56
12024.233 12024.259   21
12030.932 12030.837   62
12055.912 12055.843   22
12120.556 12120.218   12
12122.690 12122.591  166
12136.107 12135.738   62
12155.358 12154.512   13
12196.299 12196.471   37
12229.206 12229.381  142
12257.680 12257.777   53
12286.820 12287.159  157
12325.925 12325.901   41
12351.329 12351.866  102
12400.967 12400.789   24
12422.967 12423.727   52
12482.885 12482.530   13
12501.915 12502.919   19
12571.855 12571.304    5
12588.345 12589.613    8
12748.001 12747.917   11
12752.864 12752.732   31
12760.892 12761.093   10
12764.492 12764.343  179
12777.032 12777.167   22
12782.634 12782.500  165
12801.522 12801.565   31
12807.030 12806.937  120
12834.593 12834.535   34
12903.707 12903.358   23
12905.761 12905.661  256
12921.319 12920.945   77
12943.607 12942.746   26
12985.550 12985.742   53
13021.544 13021.726  188
13052.678 13052.801   71
13085.086 13085.443  206
13127.821 13127.823   59
13156.506 13157.079   64
13210.926 13210.769   31
13236.106 13236.927   88
14833.285 14832.903  205
14864.398 14864.398   59
14886.507 14885.824   12
